accession,dataset,biosample,antibiotic,species,mic,phenotype,gtdb_species,gtdb_genus,gtdb_ani,adjusted_mic,adjusted_phenotype
ERZ3081645,c24_test,SAMEA104188712,Ciprofloxacin,Escherichia coli,0.125,susceptible,Escherichia coli,Escherichia,0.9736885014555527,0.125,susceptible
ERZ3081648,c24_test,SAMEA104188711,Ciprofloxacin,Escherichia coli,0.125,susceptible,Escherichia coli,Escherichia,0.973712168554366,0.125,susceptible
ERZ3081649,c24_test,SAMEA104188717,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.971288333058041,0.25,susceptible
ERZ3081651,c24_test,SAMEA104188721,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.978192377776644,0.25,susceptible
ERZ3081654,c24_test,SAMEA104188724,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9724597365027502,4,resistant
ERZ3081655,c24_test,SAMEA104188725,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9721942094868664,1,resistant
ERZ3081661,c24_test,SAMEA104188726,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9973834509339008,0.25,susceptible
ERZ3081667,c24_test,SAMEA104188737,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9792643247924844,2,resistant
ERZ3081675,c24_test,SAMEA104188743,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9734966459228648,8,resistant
ERZ3081679,c24_test,SAMEA104188745,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9715498203583796,1,resistant
ERZ3081688,c24_test,SAMEA104188753,Ciprofloxacin,Escherichia coli,0.125,susceptible,Escherichia coli,Escherichia,0.9743497469272272,0.125,susceptible
ERZ3081689,c24_test,SAMEA104188756,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.9720335388393136,0.5,intermediate
ERZ3081692,c24_test,SAMEA104188757,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.972783373563704,0.25,susceptible
ERZ3081698,c24_test,SAMEA104188766,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9733071670463482,0.25,susceptible
ERZ3081699,c24_test,SAMEA104188765,Ciprofloxacin,Escherichia coli,0.125,susceptible,Escherichia coli,Escherichia,0.9739474097523596,0.125,susceptible
ERZ3081703,c24_test,SAMEA104188772,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9735679077470936,0.25,susceptible
ERZ3081704,c24_test,SAMEA104188771,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.9862074591503264,0.5,intermediate
ERZ3081710,c24_test,SAMEA104188779,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9727806010720996,0.25,susceptible
ERZ3081711,c24_test,SAMEA104188774,Ciprofloxacin,Escherichia coli,0.125,susceptible,Escherichia coli,Escherichia,0.9739868658317288,0.125,susceptible
ERZ3081717,c24_test,SAMEA104188784,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9723493151660292,0.25,susceptible
ERZ3081721,c24_test,SAMEA104188790,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.9725014651515292,0.5,intermediate
ERZ3081723,c24_test,SAMEA104188792,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.986343345631544,0.25,susceptible
ERZ3081724,c24_test,SAMEA104188789,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.973687155190926,0.25,susceptible
GCA_000633675.2,c24_balance,SAMN02581401,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9767142188596464,2,resistant
GCA_000770285.1,c24_balance,SAMN03075589,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.986044975500516,2,resistant
GCA_000797655.1,c24_balance,SAMN03177664,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9727539375975036,0.015625,susceptible
GCA_000797675.1,c24_test,SAMN03177680,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9723444217136112,0.25,susceptible
GCA_000797695.1,c24_test,SAMN03177681,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.971968574657294,4,resistant
GCA_000797775.1,c24_test,SAMN03177644,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.972518984778162,0.03125,susceptible
GCA_000797875.1,c24_test c24_balance,SAMN03177686,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9714660842916312,1,resistant
GCA_000797915.1,c24_test,SAMN03177688,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9716699929535992,1,resistant
GCA_000797955.1,c24_balance,SAMN03177663,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9721163347508248,0.015625,susceptible
GCA_000798035.1,c24_test,SAMN03177646,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9721428311568664,0.25,susceptible
GCA_000798055.1,c24_test,SAMN03177637,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9723163721496764,0.25,susceptible
GCA_000798075.1,c24_test c24_balance,SAMN03177635,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9721999803373124,0.25,susceptible
GCA_000798095.1,c24_test,SAMN03177660,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9729039060186152,0.25,susceptible
GCA_000798135.1,c24_balance,SAMN03177639,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.972705537584276,0.125,susceptible
GCA_000798155.1,c24_test,SAMN03177640,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9724760156384749,0.03125,susceptible
GCA_000798195.1,c24_test c24_balance,SAMN03177631,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9732730563333214,0.25,susceptible
GCA_000798275.1,c24_test,SAMN03177624,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9725786984333264,4,resistant
GCA_000798315.1,c24_test,SAMN03177623,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9713279889052496,0.25,susceptible
GCA_000798355.1,c24_balance,SAMN03177628,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9722921375030515,0.015625,susceptible
GCA_000798375.1,c24_test c24_balance,SAMN03177685,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9722098007916916,0.25,susceptible
GCA_000798415.1,c24_test,SAMN03177648,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.9734234793761628,0.0625,susceptible
GCA_000798455.1,c24_test,SAMN03177656,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.97217524416422,4,resistant
GCA_000798515.1,c24_balance,SAMN03177619,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.97049185520794,0.125,susceptible
GCA_000818985.1,c24_test,SAMN03177636,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.972780065378802,4,resistant
GCA_000819005.1,c24_test,SAMN03177634,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.97192829020466,4,resistant
GCA_000819015.1,c24_test,SAMN03177638,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9718733456269404,0.25,susceptible
GCA_000819065.1,c24_test,SAMN03177643,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9722694659745278,0.25,susceptible
GCA_000819085.1,c24_test,SAMN03177622,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9722690441728954,4,resistant
GCA_000819225.1,c24_test,SAMN03177666,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.9708908332695222,0.5,intermediate
GCA_000819355.1,c24_test,SAMN03177618,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9725785950401296,0.25,susceptible
GCA_000819365.1,c24_test,SAMN03177626,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9715714241135642,0.03125,susceptible
GCA_000831335.1,c24_balance,SAMN03177641,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9721631066097248,0.015625,susceptible
GCA_001677775.2,c24_balance,SAMN04229519,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9711559131846424,8,resistant
GCA_001747365.2,c24_balance,SAMN05729964,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.9711520308760022,64,resistant
GCA_001874785.1,c24_balance,SAMN04014842,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9856846182802405,8,resistant
GCA_001874845.1,c24_test c24_balance,SAMN04014889,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9721035458946108,8,resistant
GCA_002055635.1,c24_test c24_balance,SAMN04014959,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9717763941571048,8,resistant
GCA_002056065.1,c24_test,SAMN04014902,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9723863658994584,0.25,susceptible
GCA_002056145.1,c24_test,SAMN04014910,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9733392482899524,0.25,susceptible
GCA_002056635.1,c24_test c24_balance,SAMN04014945,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9859387531030104,8,resistant
GCA_002142695.1,c24_balance,SAMN06828737,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9720510548198588,2,resistant
GCA_002157245.1,c24_balance,SAMN06808253,Ciprofloxacin,Escherichia coli,32,resistant,Escherichia coli,Escherichia,0.9863981277232292,32,resistant
GCA_002180055.1,c24_test c24_balance,SAMN04014990,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9740422210923538,8,resistant
GCA_002180095.1,c24_test c24_balance,SAMN04014960,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9719262959931962,8,resistant
GCA_002180135.1,c24_test c24_balance,SAMN04015003,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9733139094789364,8,resistant
GCA_002180195.1,c24_test c24_balance,SAMN04014899,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9863534020562528,8,resistant
GCA_002180215.1,c24_test c24_balance,SAMN04014992,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9737903270405928,8,resistant
GCA_002180275.1,c24_test c24_balance,SAMN04014969,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9718218589059948,8,resistant
GCA_002192275.1,c24_test c24_balance,SAMN04014955,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9735096982141376,8,resistant
GCA_002192295.1,c24_test c24_balance,SAMN04014991,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.973834720611718,8,resistant
GCA_002201835.1,c24_test c24_balance,SAMN04014978,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9726362329339256,8,resistant
GCA_002202175.1,c24_test c24_balance,SAMN04014896,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9857856912769996,8,resistant
GCA_002250825.1,c24_balance,SAMN07357130,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.972511365296153,8,resistant
GCA_002787215.1,c24_test c24_balance,SAMN04014847,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9749165384601036,8,resistant
GCA_002787315.1,c24_test c24_balance,SAMN04014855,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9743756406410246,8,resistant
GCA_002788115.1,c24_test c24_balance,SAMN04014856,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9749666490999352,8,resistant
GCA_002788295.1,c24_test c24_balance,SAMN04014852,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9740701803687593,8,resistant
GCA_002796445.1,c24_test c24_balance,SAMN04014860,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9734390735393132,8,resistant
GCA_002796585.1,c24_test,SAMN04014858,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9905989224758768,0.25,susceptible
GCA_002948655.1,c24_test,SAMN04014918,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9776023463102834,0.25,susceptible
GCA_002968735.1,c24_balance,SAMN07291515,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9749633977348302,8,resistant
GCA_002996945.1,c24_test c24_balance,SAMN04014922,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9860527260511672,8,resistant
GCA_002999075.1,c24_balance,SAMN07291517,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9727082441737088,8,resistant
GCA_003000615.1,c24_balance,SAMN07291514,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9733788064222936,8,resistant
GCA_003000675.1,c24_balance,SAMN07291513,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9864573136022498,8,resistant
GCA_003031735.1,c24_balance,SAMN04393397,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.972059907254304,64,resistant
GCA_003031795.1,c24_balance,SAMN05194390,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9749566500119222,4,resistant
GCA_003073815.1,c24_balance,SAMN07291530,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9732421644304324,8,resistant
GCA_003073835.1,c24_balance,SAMN07291528,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9727197877638708,8,resistant
GCA_003073875.1,c24_balance,SAMN07291529,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9726953023395158,8,resistant
GCA_003073955.1,c24_balance,SAMN07291527,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9734817498671164,8,resistant
GCA_003075555.1,c24_balance,SAMN07291521,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9861825780535428,8,resistant
GCA_003194265.1,c24_balance,SAMN07602583,Ciprofloxacin,Escherichia coli,32,resistant,Escherichia coli,Escherichia,0.9764810379344052,32,resistant
GCA_003204155.1,c24_test c24_balance,SAMN04014926,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9734644703535134,8,resistant
GCA_003288415.1,c24_balance,SAMN07291545,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9732747084255556,8,resistant
GCA_003288455.1,c24_balance,SAMN07291544,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9861081198278032,8,resistant
GCA_003297365.1,c24_test,SAMD00126360,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9864007751724122,16,resistant
GCA_003297485.1,c24_test,SAMD00126363,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.9729576301571348,0.5,intermediate
GCA_003297795.1,c24_test,SAMD00126371,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9898287920061714,16,resistant
GCA_003298325.1,c24_test,SAMD00126385,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9889795802069232,16,resistant
GCA_003298755.1,c24_test,SAMD00126394,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9899989256515676,16,resistant
GCA_003298885.1,c24_test,SAMD00126396,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9860859808293952,16,resistant
GCA_003299205.1,c24_test,SAMD00126404,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.986038003935858,0.25,susceptible
GCA_003299235.1,c24_test,SAMD00126405,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9861621387715656,0.25,susceptible
GCA_003299345.1,c24_test,SAMD00126408,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9899537549519002,16,resistant
GCA_003299375.1,c24_test,SAMD00126409,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9862986618319842,16,resistant
GCA_003299405.1,c24_test,SAMD00126410,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.977708165497444,16,resistant
GCA_003299495.1,c24_test,SAMD00126413,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9860859808293952,16,resistant
GCA_003299645.1,c24_test,SAMD00126417,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9901111503910492,16,resistant
GCA_003299845.1,c24_test,SAMD00126422,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9739829641289496,0.25,susceptible
GCA_003300035.1,c24_test,SAMD00126427,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9856279740664652,16,resistant
GCA_003300195.1,c24_test,SAMD00126431,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9970019857561082,8,resistant
GCA_003300525.1,c24_test,SAMD00126439,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9750607178040114,16,resistant
GCA_003300695.1,c24_test,SAMD00126444,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9748922150195128,16,resistant
GCA_003300795.1,c24_test,SAMD00126447,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9861130680312558,0.25,susceptible
GCA_003300825.1,c24_test,SAMD00126448,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9898890459670038,0.25,susceptible
GCA_003300925.1,c24_test,SAMD00126450,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9971075960509198,0.03125,susceptible
GCA_003301085.1,c24_test,SAMD00126452,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9901115655940912,8,resistant
GCA_003301645.1,c24_test,SAMD00126469,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.97423998679684,1,resistant
GCA_003301715.1,c24_test,SAMD00126470,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9957471990460608,0.25,susceptible
GCA_003301745.1,c24_test,SAMD00126471,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.997347753200882,0.03125,susceptible
GCA_003302235.1,c24_test,SAMD00126478,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9896924322677396,4,resistant
GCA_003302335.1,c24_test,SAMD00126479,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9963896803656944,0.25,susceptible
GCA_003302535.1,c24_test,SAMD00126482,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.9862643496771828,0.5,intermediate
GCA_003302615.1,c24_test,SAMD00126483,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9726282751077384,0.25,susceptible
GCA_003302935.1,c24_test,SAMD00126488,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.986327497491979,0.25,susceptible
GCA_003303145.1,c24_test,SAMD00126491,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.997159139726016,16,resistant
GCA_003303735.1,c24_test,SAMD00126496,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.985999923041355,16,resistant
GCA_003304175.1,c24_test,SAMD00126501,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9862834717593446,16,resistant
GCA_003304895.1,c24_test,SAMD00126506,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9860553284673752,8,resistant
GCA_003305065.1,c24_test,SAMD00126509,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9723448219939038,16,resistant
GCA_003305115.1,c24_test,SAMD00126511,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9968980185242856,16,resistant
GCA_003305155.1,c24_test,SAMD00126513,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.9861157936585674,0.0625,susceptible
GCA_003305215.1,c24_test,SAMD00126516,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9860351236966064,0.25,susceptible
GCA_003305275.1,c24_test,SAMD00126519,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9864969698269238,4,resistant
GCA_003305315.1,c24_test,SAMD00126521,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.986458174667101,0.25,susceptible
GCA_003305335.1,c24_test,SAMD00126522,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9862635752857992,16,resistant
GCA_003305355.1,c24_test,SAMD00126523,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.985788064891465,0.03125,susceptible
GCA_003305395.1,c24_test,SAMD00126525,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9857903727272264,0.25,susceptible
GCA_003305455.1,c24_test,SAMD00126528,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.973946585273957,0.0625,susceptible
GCA_003305475.1,c24_test,SAMD00126529,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9863543047163637,16,resistant
GCA_003305555.1,c24_test,SAMD00126533,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.9857184005982654,0.0625,susceptible
GCA_003305575.1,c24_test,SAMD00126534,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9862258475370024,0.25,susceptible
GCA_003305635.1,c24_test,SAMD00126537,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.986006707544345,0.5,intermediate
GCA_003305675.1,c24_test,SAMD00126539,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.9860512882894822,0.0625,susceptible
GCA_003305695.1,c24_test,SAMD00126540,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.986471486553494,16,resistant
GCA_003305815.1,c24_test,SAMD00126546,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9862872094466488,16,resistant
GCA_003305835.1,c24_test,SAMD00126547,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9889973604771524,2,resistant
GCA_003305855.1,c24_test,SAMD00126548,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.9863396190950052,0.5,intermediate
GCA_003305875.1,c24_test,SAMD00126549,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.986273140383326,1,resistant
GCA_003305915.1,c24_test,SAMD00126551,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.9769191119518442,0.0625,susceptible
GCA_003306095.1,c24_test,SAMD00126560,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.986161526123845,0.25,susceptible
GCA_003306115.1,c24_test,SAMD00126561,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.98617828993487755,2,resistant
GCA_003306135.1,c24_test,SAMD00126562,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.9863763859561968,0.0625,susceptible
GCA_003306195.1,c24_test,SAMD00126565,Ciprofloxacin,Escherichia coli,0.06,susceptible,Escherichia coli,Escherichia,0.9751955774963608,0.0625,susceptible
